timestamp,host,source_ip,username,dest_port,event_type,status
2025-11-20T13:56:50.042617Z,fw1,10.0.0.8,guest,58702,login_success,200
2025-11-20T14:04:10.042617Z,router2,10.0.0.26,admin,58773,login_failed,401
2025-11-20T14:29:29.042617Z,server1,10.0.0.6,admin,5505,login_success,200
2025-11-20T14:26:30.042617Z,server1,10.0.0.13,root,45480,login_success,200
2025-11-20T14:11:57.042617Z,router1,10.0.0.7,root,40960,login_failed,401
2025-11-20T14:38:52.042617Z,fw1,10.0.0.5,admin,1530,login_failed,401
2025-11-20T14:14:00.042617Z,router2,10.0.0.13,user1,60587,config_change,204
2025-11-20T14:16:03.042617Z,fw1,10.0.0.14,user1,35808,login_success,200
2025-11-20T13:58:47.042617Z,server1,10.0.0.15,root,37955,login_failed,401
2025-11-20T14:41:12.042617Z,router1,10.0.0.9,user1,64075,login_success,200
2025-11-20T14:32:34.042617Z,router1,10.0.0.27,root,13836,login_failed,401
2025-11-20T14:43:36.042617Z,router1,10.0.0.11,root,28356,login_failed,401
2025-11-20T14:31:43.042617Z,router1,10.0.0.23,root,25410,config_change,204
2025-11-20T13:57:52.042617Z,router2,10.0.0.9,root,29712,login_failed,401
2025-11-20T14:44:27.042617Z,server1,10.0.0.11,guest,64964,config_change,204
2025-11-20T14:31:37.042617Z,fw1,10.0.0.23,user1,53096,login_failed,401
2025-11-20T14:06:36.042617Z,fw1,10.0.0.9,user1,15766,login_failed,401
2025-11-20T14:30:02.042617Z,router1,10.0.0.11,admin,30246,config_change,204
2025-11-20T14:20:49.042617Z,router2,10.0.0.3,admin,13551,config_change,204
2025-11-20T14:21:44.042617Z,server1,10.0.0.14,user1,39480,config_change,204
2025-11-20T14:32:39.042617Z,server1,10.0.0.29,admin,48282,login_success,200
2025-11-20T14:15:29.042617Z,router2,10.0.0.6,user1,12976,config_change,204
2025-11-20T13:57:24.042617Z,server1,10.0.0.12,root,34547,config_change,204
2025-11-20T14:30:36.042617Z,router2,10.0.0.13,admin,42614,login_success,200
2025-11-20T14:27:11.042617Z,router1,10.0.0.3,user1,65307,login_success,200
2025-11-20T14:43:16.042617Z,server1,10.0.0.20,user1,44522,config_change,204
2025-11-20T14:19:50.042617Z,router1,10.0.0.2,guest,46230,config_change,204
2025-11-20T14:38:11.042617Z,fw1,10.0.0.13,guest,13894,login_success,200
2025-11-20T14:16:03.042617Z,server1,10.0.0.16,guest,59284,config_change,204
2025-11-20T14:13:43.042617Z,router1,10.0.0.23,user1,17591,login_failed,401
2025-11-20T13:55:07.042617Z,router2,10.0.0.19,guest,22960,config_change,204
2025-11-20T14:43:11.042617Z,server1,10.0.0.9,admin,18047,login_success,200
2025-11-20T14:20:28.042617Z,router1,10.0.0.19,guest,19887,login_failed,401
2025-11-20T14:06:59.042617Z,fw1,10.0.0.20,user1,34551,config_change,204
2025-11-20T14:23:36.042617Z,router1,10.0.0.28,root,14356,login_success,200
2025-11-20T14:04:55.042617Z,server1,10.0.0.6,guest,30745,login_failed,401
2025-11-20T14:05:42.042617Z,router1,10.0.0.8,user1,20001,login_failed,401
2025-11-20T14:09:27.042617Z,server1,10.0.0.21,user1,36396,login_failed,401
2025-11-20T14:05:45.042617Z,router1,10.0.0.22,guest,27492,config_change,204
2025-11-20T14:38:34.042617Z,router1,10.0.0.28,guest,27705,login_success,200
2025-11-20T14:20:40.042617Z,router2,10.0.0.15,root,11307,login_failed,401
2025-11-20T14:26:04.042617Z,router2,10.0.0.22,root,2564,login_success,200
2025-11-20T14:07:32.042617Z,fw1,10.0.0.4,admin,35721,login_success,200
2025-11-20T14:24:38.042617Z,server1,10.0.0.7,admin,11876,login_failed,401
2025-11-20T14:22:04.042617Z,fw1,10.0.0.19,guest,51571,config_change,204
2025-11-20T14:41:09.042617Z,server1,10.0.0.9,guest,35910,config_change,204
2025-11-20T14:09:55.042617Z,router1,10.0.0.10,admin,34208,config_change,204
2025-11-20T14:38:26.042617Z,fw1,10.0.0.23,guest,5635,login_failed,401
2025-11-20T14:16:06.042617Z,router2,10.0.0.10,user1,59144,login_failed,401
2025-11-20T14:37:57.042617Z,router2,10.0.0.4,user1,51811,login_failed,401
2025-11-20T14:22:12.042617Z,router1,10.0.0.23,root,27859,login_failed,401
2025-11-20T14:31:55.042617Z,fw1,10.0.0.7,guest,26468,login_success,200
2025-11-20T14:16:57.042617Z,fw1,10.0.0.18,root,61902,config_change,204
2025-11-20T14:29:12.042617Z,fw1,10.0.0.17,guest,20855,login_failed,401
2025-11-20T14:43:17.042617Z,fw1,10.0.0.15,admin,10503,config_change,204
2025-11-20T14:34:03.042617Z,fw1,10.0.0.22,user1,45109,login_success,200
2025-11-20T14:26:00.042617Z,fw1,10.0.0.13,user1,60805,config_change,204
2025-11-20T14:22:49.042617Z,router1,10.0.0.2,root,11302,login_success,200
2025-11-20T13:58:04.042617Z,router1,10.0.0.16,root,26274,login_failed,401
2025-11-20T14:39:59.042617Z,router2,10.0.0.18,user1,54431,config_change,204
2025-11-20T14:09:03.042617Z,fw1,10.0.0.10,guest,39510,login_failed,401
2025-11-20T14:07:27.042617Z,fw1,10.0.0.7,root,42390,login_failed,401
2025-11-20T14:16:41.042617Z,fw1,10.0.0.26,guest,14945,config_change,204
2025-11-20T14:22:20.042617Z,router2,10.0.0.3,root,15179,login_success,200
2025-11-20T14:30:20.042617Z,server1,10.0.0.18,admin,32464,config_change,204
2025-11-20T14:25:34.042617Z,router1,10.0.0.16,root,2553,login_success,200
2025-11-20T14:28:33.042617Z,router1,10.0.0.22,guest,24841,login_failed,401
2025-11-20T13:58:38.042617Z,router1,10.0.0.23,guest,39256,login_failed,401
2025-11-20T14:14:53.042617Z,router1,10.0.0.6,guest,25979,login_failed,401
2025-11-20T14:19:16.042617Z,router1,10.0.0.13,guest,4967,config_change,204
2025-11-20T14:10:11.042617Z,server1,10.0.0.29,admin,39850,login_success,200
2025-11-20T14:10:45.042617Z,server1,10.0.0.26,guest,1826,login_failed,401
2025-11-20T14:37:37.042617Z,server1,10.0.0.11,user1,23042,login_success,200
2025-11-20T14:27:37.042617Z,server1,10.0.0.28,guest,35519,login_failed,401
2025-11-20T14:32:28.042617Z,server1,10.0.0.17,admin,16771,login_failed,401
2025-11-20T14:12:30.042617Z,router1,10.0.0.22,admin,25537,login_failed,401
2025-11-20T14:32:02.042617Z,server1,10.0.0.12,admin,2227,login_success,200
2025-11-20T14:42:08.042617Z,server1,10.0.0.26,guest,27874,config_change,204
2025-11-20T14:05:03.042617Z,router2,10.0.0.15,root,55389,config_change,204
2025-11-20T14:33:41.042617Z,fw1,10.0.0.28,root,11741,login_failed,401
2025-11-20T14:37:58.042617Z,server1,10.0.0.12,admin,16415,login_success,200
2025-11-20T14:08:06.042617Z,router2,10.0.0.10,user1,27479,login_failed,401
2025-11-20T14:32:03.042617Z,fw1,10.0.0.20,user1,21194,config_change,204
2025-11-20T14:28:18.042617Z,server1,10.0.0.18,root,21790,login_success,200
2025-11-20T14:24:47.042617Z,router2,10.0.0.15,guest,9123,login_success,200
2025-11-20T14:42:59.042617Z,server1,10.0.0.15,guest,19030,login_success,200
2025-11-20T13:58:28.042617Z,router1,10.0.0.21,guest,23022,login_failed,401
2025-11-20T14:08:58.042617Z,fw1,10.0.0.25,user1,49151,config_change,204
2025-11-20T14:03:17.042617Z,router2,10.0.0.5,root,18975,login_success,200
2025-11-20T14:16:37.042617Z,server1,10.0.0.6,guest,54869,login_failed,401
2025-11-20T14:37:50.042617Z,router2,10.0.0.13,admin,26793,login_success,200
2025-11-20T13:56:46.042617Z,server1,10.0.0.26,root,49395,config_change,204
2025-11-20T14:18:24.042617Z,fw1,10.0.0.5,user1,21575,config_change,204
2025-11-20T14:06:22.042617Z,server1,10.0.0.28,admin,22570,login_failed,401
2025-11-20T13:58:25.042617Z,router1,10.0.0.14,root,25294,login_success,200
2025-11-20T14:06:28.042617Z,router2,10.0.0.5,user1,2872,login_success,200
2025-11-20T14:12:23.042617Z,server1,10.0.0.16,user1,57776,login_success,200
2025-11-20T13:55:06.042617Z,router1,10.0.0.9,admin,38096,login_failed,401
2025-11-20T14:36:09.042617Z,server1,10.0.0.4,user1,52549,login_failed,401
2025-11-20T14:31:24.042617Z,router2,10.0.0.19,admin,7859,config_change,204
2025-11-20T14:39:08.042617Z,server1,10.0.0.2,user1,20213,login_failed,401
2025-11-20T14:27:19.042617Z,router2,10.0.0.24,root,27364,config_change,204
2025-11-20T14:00:46.042617Z,router2,10.0.0.12,root,4273,login_success,200
2025-11-20T14:25:41.042617Z,router2,10.0.0.8,admin,35187,config_change,204
2025-11-20T14:42:43.042617Z,fw1,10.0.0.29,admin,25469,login_success,200
2025-11-20T14:32:38.042617Z,fw1,10.0.0.19,root,22006,config_change,204
2025-11-20T14:21:07.042617Z,fw1,10.0.0.7,user1,24517,login_failed,401
2025-11-20T14:16:01.042617Z,server1,10.0.0.26,root,61430,login_success,200
2025-11-20T14:29:29.042617Z,router2,10.0.0.11,guest,57348,login_failed,401
2025-11-20T14:29:15.042617Z,router2,10.0.0.17,admin,30003,login_success,200
2025-11-20T13:59:49.042617Z,router2,10.0.0.10,guest,60570,login_success,200
2025-11-20T14:00:55.042617Z,router1,10.0.0.5,guest,20675,config_change,204
2025-11-20T14:31:22.042617Z,server1,10.0.0.25,admin,14313,config_change,204
2025-11-20T14:41:02.042617Z,server1,10.0.0.15,guest,34200,login_failed,401
2025-11-20T14:27:01.042617Z,server1,10.0.0.29,admin,61178,login_success,200
2025-11-20T14:26:05.042617Z,router2,10.0.0.10,user1,26053,login_failed,401
2025-11-20T13:56:33.042617Z,router2,10.0.0.21,user1,1608,login_failed,401
2025-11-20T14:27:42.042617Z,fw1,10.0.0.18,admin,20029,login_success,200
2025-11-20T14:40:15.042617Z,router2,10.0.0.21,guest,2795,login_failed,401
2025-11-20T14:29:16.042617Z,router1,10.0.0.15,user1,45037,login_success,200
2025-11-20T14:43:36.042617Z,fw1,10.0.0.2,guest,12798,login_success,200
2025-11-20T14:14:55.042617Z,server1,10.0.0.16,guest,28765,login_failed,401
2025-11-20T14:02:39.042617Z,server1,10.0.0.23,root,46185,login_failed,401
2025-11-20T14:21:26.042617Z,fw1,10.0.0.24,guest,8900,login_failed,401
2025-11-20T14:21:17.042617Z,fw1,10.0.0.17,guest,58206,config_change,204
2025-11-20T14:54:38.042617Z,fw1,10.0.0.200,unknown,4538,port_probe,900
2025-11-20T14:54:08.042617Z,fw1,10.0.0.200,unknown,1894,port_probe,900
2025-11-20T14:51:28.042617Z,fw1,10.0.0.200,unknown,4532,port_probe,900
2025-11-20T14:54:48.042617Z,fw1,10.0.0.200,unknown,3382,port_probe,900
2025-11-20T14:51:53.042617Z,fw1,10.0.0.200,unknown,4662,port_probe,900
2025-11-20T14:51:56.042617Z,fw1,10.0.0.200,unknown,2037,port_probe,900
2025-11-20T14:52:56.042617Z,fw1,10.0.0.200,unknown,3422,port_probe,900
2025-11-20T14:52:40.042617Z,fw1,10.0.0.200,unknown,4800,port_probe,900
2025-11-20T14:50:25.042617Z,fw1,10.0.0.200,unknown,673,port_probe,900
2025-11-20T14:52:48.042617Z,fw1,10.0.0.200,unknown,3456,port_probe,900
2025-11-20T14:50:50.042617Z,fw1,10.0.0.200,unknown,2744,port_probe,900
2025-11-20T14:50:00.042617Z,fw1,10.0.0.200,unknown,2841,port_probe,900
2025-11-20T14:52:38.042617Z,fw1,10.0.0.200,unknown,4186,port_probe,900
2025-11-20T14:54:59.042617Z,fw1,10.0.0.200,unknown,3378,port_probe,900
2025-11-20T14:52:24.042617Z,fw1,10.0.0.200,unknown,914,port_probe,900
2025-11-20T14:51:05.042617Z,fw1,10.0.0.200,unknown,942,port_probe,900
2025-11-20T14:50:19.042617Z,fw1,10.0.0.200,unknown,1826,port_probe,900
2025-11-20T14:53:46.042617Z,fw1,10.0.0.200,unknown,2324,port_probe,900
2025-11-20T14:53:39.042617Z,fw1,10.0.0.200,unknown,4413,port_probe,900
2025-11-20T14:53:08.042617Z,fw1,10.0.0.200,unknown,2433,port_probe,900
2025-11-20T14:51:22.042617Z,fw1,10.0.0.200,unknown,3745,port_probe,900
2025-11-20T14:54:59.042617Z,fw1,10.0.0.200,unknown,3545,port_probe,900
2025-11-20T14:51:14.042617Z,fw1,10.0.0.200,unknown,508,port_probe,900
2025-11-20T14:50:37.042617Z,fw1,10.0.0.200,unknown,4316,port_probe,900
2025-11-20T14:53:52.042617Z,fw1,10.0.0.200,unknown,4051,port_probe,900
2025-11-20T14:52:40.042617Z,fw1,10.0.0.200,unknown,2602,port_probe,900
2025-11-20T14:51:58.042617Z,fw1,10.0.0.200,unknown,2046,port_probe,900
2025-11-20T14:50:38.042617Z,fw1,10.0.0.200,unknown,3063,port_probe,900
2025-11-20T14:52:44.042617Z,fw1,10.0.0.200,unknown,381,port_probe,900
2025-11-20T14:53:01.042617Z,fw1,10.0.0.200,unknown,3619,port_probe,900
2025-11-20T14:52:13.042617Z,fw1,10.0.0.200,unknown,3640,port_probe,900
2025-11-20T14:51:58.042617Z,fw1,10.0.0.200,unknown,908,port_probe,900
2025-11-20T14:50:33.042617Z,fw1,10.0.0.200,unknown,3961,port_probe,900
2025-11-20T14:53:58.042617Z,fw1,10.0.0.200,unknown,1605,port_probe,900
2025-11-20T14:52:12.042617Z,fw1,10.0.0.200,unknown,4318,port_probe,900
2025-11-20T14:51:24.042617Z,fw1,10.0.0.200,unknown,4843,port_probe,900
2025-11-20T14:50:49.042617Z,fw1,10.0.0.200,unknown,2764,port_probe,900
2025-11-20T14:50:10.042617Z,fw1,10.0.0.200,unknown,4198,port_probe,900
2025-11-20T14:53:55.042617Z,fw1,10.0.0.200,unknown,1427,port_probe,900
2025-11-20T14:53:23.042617Z,fw1,10.0.0.200,unknown,1849,port_probe,900
