timestamp,host,source_ip,username,event_type,status
2025-11-20T01:53:12.492546Z,router2,10.0.0.4,guest,login_success,200
2025-11-20T01:22:08.492546Z,router2,10.0.0.6,guest,config_change,204
2025-11-20T01:29:54.492546Z,router1,10.0.0.11,user1,logout,200
2025-11-20T02:03:29.492546Z,router2,10.0.0.17,guest,login_failed,401
2025-11-20T02:07:40.492546Z,router1,10.0.0.16,user1,login_success,200
2025-11-20T01:50:56.492546Z,fw1,10.0.0.14,user1,config_change,204
2025-11-20T02:07:47.492546Z,switch3,10.0.0.19,guest,login_success,200
2025-11-20T02:18:59.492546Z,router2,10.0.0.7,user1,port_scan,900
2025-11-20T01:29:03.492546Z,router1,10.0.0.16,user1,port_scan,900
2025-11-20T01:53:58.492546Z,router1,10.0.0.18,user1,login_success,200
2025-11-20T01:44:13.492546Z,switch3,10.0.0.17,admin,port_scan,900
2025-11-20T02:11:48.492546Z,switch3,10.0.0.10,root,login_failed,401
2025-11-20T01:49:38.492546Z,router1,10.0.0.4,root,config_change,204
2025-11-20T02:04:34.492546Z,router2,10.0.0.10,user1,login_failed,401
2025-11-20T02:08:03.492546Z,router2,10.0.0.17,user1,login_failed,401
2025-11-20T02:19:08.492546Z,router2,10.0.0.11,root,logout,200
2025-11-20T01:40:10.492546Z,router2,10.0.0.19,admin,login_failed,401
2025-11-20T02:00:07.492546Z,switch3,10.0.0.8,root,config_change,204
2025-11-20T01:55:45.492546Z,fw1,10.0.0.6,user1,config_change,204
2025-11-20T01:45:26.492546Z,fw1,10.0.0.11,root,config_change,204
2025-11-20T02:15:23.492546Z,switch3,10.0.0.17,root,port_scan,900
2025-11-20T01:58:54.492546Z,switch3,10.0.0.15,guest,config_change,204
2025-11-20T01:26:43.492546Z,switch3,10.0.0.18,root,config_change,204
2025-11-20T02:03:33.492546Z,router1,10.0.0.8,admin,login_failed,401
2025-11-20T01:20:17.492546Z,switch3,10.0.0.17,user1,port_scan,900
2025-11-20T01:22:36.492546Z,switch3,10.0.0.18,root,config_change,204
2025-11-20T02:10:32.492546Z,fw1,10.0.0.15,guest,config_change,204
2025-11-20T02:13:56.492546Z,switch3,10.0.0.8,user1,login_success,200
2025-11-20T01:54:53.492546Z,switch3,10.0.0.16,admin,config_change,204
2025-11-20T01:39:18.492546Z,router1,10.0.0.10,user1,config_change,204
2025-11-20T01:45:06.492546Z,fw1,10.0.0.13,root,logout,200
2025-11-20T01:23:17.492546Z,switch3,10.0.0.14,user1,logout,200
2025-11-20T02:02:28.492546Z,fw1,10.0.0.2,guest,login_success,200
2025-11-20T01:53:24.492546Z,switch3,10.0.0.6,guest,login_failed,401
2025-11-20T01:28:34.492546Z,switch3,10.0.0.13,user1,login_failed,401
2025-11-20T02:01:57.492546Z,switch3,10.0.0.6,guest,config_change,204
2025-11-20T01:31:18.492546Z,router2,10.0.0.4,admin,login_failed,401
2025-11-20T01:55:12.492546Z,fw1,10.0.0.19,guest,login_success,200
2025-11-20T01:53:34.492546Z,fw1,10.0.0.12,guest,port_scan,900
2025-11-20T01:38:35.492546Z,switch3,10.0.0.12,root,login_failed,401
2025-11-20T01:51:20.492546Z,router1,10.0.0.2,guest,login_failed,401
2025-11-20T02:17:16.492546Z,router1,10.0.0.8,guest,port_scan,900
2025-11-20T01:51:33.492546Z,switch3,10.0.0.7,user1,login_failed,401
2025-11-20T01:57:48.492546Z,router2,10.0.0.15,guest,port_scan,900
2025-11-20T01:37:36.492546Z,router2,10.0.0.9,user1,port_scan,900
2025-11-20T01:29:33.492546Z,router2,10.0.0.18,admin,config_change,204
2025-11-20T02:04:41.492546Z,router1,10.0.0.7,root,login_failed,401
2025-11-20T01:24:13.492546Z,router1,10.0.0.18,guest,config_change,204
2025-11-20T01:49:45.492546Z,router1,10.0.0.10,guest,login_failed,401
2025-11-20T02:00:55.492546Z,router2,10.0.0.9,root,port_scan,900
2025-11-20T01:51:01.492546Z,switch3,10.0.0.8,root,login_success,200
2025-11-20T01:37:39.492546Z,router1,10.0.0.13,admin,login_success,200
2025-11-20T01:20:52.492546Z,router1,10.0.0.12,root,login_success,200
2025-11-20T01:24:28.492546Z,router2,10.0.0.14,guest,login_failed,401
2025-11-20T01:46:38.492546Z,fw1,10.0.0.5,root,port_scan,900
2025-11-20T01:57:04.492546Z,fw1,10.0.0.6,user1,config_change,204
2025-11-20T01:56:46.492546Z,router1,10.0.0.19,user1,config_change,204
2025-11-20T01:47:37.492546Z,switch3,10.0.0.2,user1,login_failed,401
2025-11-20T01:26:25.492546Z,router2,10.0.0.10,guest,login_failed,401
2025-11-20T01:28:05.492546Z,switch3,10.0.0.10,user1,login_failed,401
2025-11-20T02:02:36.492546Z,router2,10.0.0.7,admin,login_failed,401
2025-11-20T01:21:37.492546Z,fw1,10.0.0.8,user1,config_change,204
2025-11-20T01:45:03.492546Z,router1,10.0.0.13,admin,login_success,200
2025-11-20T02:08:34.492546Z,router1,10.0.0.2,root,login_success,200
2025-11-20T01:22:23.492546Z,fw1,10.0.0.18,root,login_success,200
2025-11-20T01:23:37.492546Z,router2,10.0.0.10,guest,logout,200
2025-11-20T01:47:16.492546Z,fw1,10.0.0.8,root,config_change,204
2025-11-20T02:12:57.492546Z,fw1,10.0.0.16,user1,login_success,200
2025-11-20T02:14:49.492546Z,router1,10.0.0.11,user1,login_success,200
2025-11-20T01:19:33.492546Z,router1,10.0.0.4,admin,login_success,200
2025-11-20T01:30:14.492546Z,switch3,10.0.0.7,user1,port_scan,900
2025-11-20T02:15:04.492546Z,fw1,10.0.0.16,admin,config_change,204
